smiles,rt
C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,6.48
C1CCN[C@H](C1)[C@H](C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O,3.48
C[C@@H](CCCN)NC1=C2C(=CC(=C1)OC)C=CC=N2,4.54
C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N,6.51
CCN(CC)CCCCCCNC1=CC(=CC2=C(C=CN=C12)C)OC,2.3
C1CN(CCN1C(=S)NCC2=CC=CO2)S(=O)(=O)C3=CC=C(C=C3)Cl,0.96
CC1=NC(=NC2=C1C=CC=C2OC)N=C(N)N,5.16
CCCS(=O)(=O)N1CCC(CC1)(CC2=CC=CC=C2C(F)(F)F)CO,0.97
CC1=C([C@@H](C(=C(N1)C)C(=O)OC(C)C)C2=CC=CC3=NON=C32)C(=O)OC,0.96
CNCC[C@@H](C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,2.56
C1CCC(CC1)C(=O)N2C[C@H]3C4=CC=CC=C4CCN3C(=O)C2,1.08
CCN(CC)C(=O)N1CCN(CC1)C,4.5
COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3,1.2
C1=CC2=C(C=C1Cl)N=C(O2)N,1.12
CN1CCCN(CC1)[C@@H](C2=CC=CC=C2)C3=CC=C(C=C3)Cl,2.42
C1CN[C@@]2(C3=C(C=CC(=C3)Br)NC2=O)C4=C1C5=CC=CC=C5N4,1.28
CC1=CC2=C(C=C1)NC3=C2N=CN=C3NCCN(C)C,5.5
COC1=C(C=C2C(=C1)C(=NC=N2)NC3CCN(CC3)CC4=CC=CC=C4)OC,5.66
CC1=CC(=C(C=C1OCC(=O)NC2CCCCC2)S(=O)(=O)N3CCCC3)Cl,0.96
CN(C)C1=NC2=CC=CC=C2C(=C1)NC(=O)NC3=CC=CC=C3,3.37
CC1=CC(=NO1)NC(=O)C2=CC=C(C=C2)S(=O)(=O)N(CC3=CC=CC=C3)C(C)C,0.97
COC1=CC(=CC(=C1)C(=O)NC[C@H]2CC3=C(O2)C(=CC(=C3)Cl)C4=CC=NC=C4)OC,1.09
CC1=CC(=NN1C2=CC=C(C=C2)NC(=O)C3CCN(CC3)CC4=CN=C(S4)C)C,4.01
CCOC1=CC=C(C=C1)C2=C(SC(=N2)NC(=O)CS(=O)(=O)C3=CC=CC=C3)C,1.03
C1CC1NC(=O)C2=CC=C(O2)CSCC3=CC=CC=C3Cl,1
C1=CC=C2C(=C1)N=C(O2)C3=CC=C(C=C3)NC(=O)C4=CC=C(C=C4)N,1.08
CC1=C(C=CC(=C1)CN2CCOC3=C(C2)C=C(C=C3)[C@](C)(CN(C)C)O)OC,5.35
CC1=CC(=NO1)C(=O)NC2=CN(N=C2)CC3=C(C=C(C=C3)Cl)Cl,0.99
C1CN(CCC1C(=O)N2CCC3=CC=CC=C3C2)C4=NN=NN4C5=CC=CC=C5,1.01
COC1=NC=C(C=C1)C2=CN=C3N2N=C(C=C3)NCC4=CC=C(C=C4)S(=O)(=O)N,1.69
COC1=C(C=CC(=C1)C2=C(N=CC(=C2)C3=CC=C(C=C3)S(=O)(=O)C)N)O,1.26
C1COCCC1CNC2=NN3C(=CN=C3S2)C4=CC=CS4,1.15
CC1=NC2=NC=CN2C(=C1)NC3=CC=C(C=C3)C(F)(F)F,1.89
CN(C)C1=CC=CC(=C1)CNC2CCN(CC2)CCC3=CC=C(C=C3)OC,5.48
C1CN2C(=NC(=C2NC3=CC4=C(C=C3)OCO4)C5=CC=CC=C5)CN1C(=O)CN,5.74
C1=CN=CC=C1C2=NN=C(O2)SC3=C(C=C(C=N3)C(F)(F)F)Cl,0.98
CC1=CC(=C(C=C1)NC(=O)C2=C(NC=N2)C(=O)NC3=NC4=CC=CC=C4N3)C,1.22
CC1=C(N2C=CC=CC2=N1)C(=O)NCC3=CC=C(C=C3)Cl,1.19
CC1=NC2=C(C(=NN2C(=C1)NC3=CC=NC=C3)C)C4=CC=CC=C4Cl,3.33
CC1=CC=C(C=C1)C2=NC3=C(C=C(C=C3)Br)C(=C2)C(=O)NC4=CN=CC=C4,1.06
CC1=CC(=NC2=NC(=NN12)C(=O)NC3=C(C=CC(=C3)C(F)(F)F)N4CCOCC4)C,0.98
CC1=C(C2=C(C=C1)[C@]3(C(=O)N2)NN=C(S3)C4=CC=CC=C4)C,1.06
