smiles,rt
C1=CC=C2C(=C1)C(C(=O)N2)CC(=O)O,2.02
CC1C(NC(CN1)C2=CC=CC=C2)C,2.61
C1CCC(C(C1)O)O,4.88
C1CCC(=O)C(=O)C1,5.77
CN1C2=C(NC1=O)N(C(=O)N(C2=O)C)C,1.83
C1CC(=O)CC(=O)C1,1.47
C1CC(CCC1C(=O)O)C(=O)O,1.56
C1CC(=O)CCC1=O,1.15
CN1C2=C(NC1=O)NC(=O)N(C2=O)C,4.09
CC(=O)N1C=CN=C1,1.37
C1=CC=C(C=C1)CN2C=CN=C2,1.63
CN1C=C(C(=O)NC1=O)C2C(C(C(O2)CO)O)O,4.99
CN1C=C(C2=CC=CC=C21)CC(C(=O)O)N,6.38
CC12CCC3C(C1CC(C2O)OC4C(C(C(C(O4)C(=O)O)O)O)O)CCC5=C3C=CC(=C5)O,6.49
C1CC(OC1CO)N2C=NC3=C2NC=NC3=O,3.44
C1C(C(OC1N2C=NC3=C2N=CN=C3N)COP(=O)(O)O)O,8.63
C1C(C(OC1N2C=CC(=NC2=O)N)CO)O,5.87
C1C(C(OC1N2C=NC3=C2NC(=NC3=O)N)CO)OP(=O)(O)O,9.43
C1C(C(OC1N2C=NC3=C2NC(=NC3=O)N)COP(=O)(O)O)O,9.25
CC1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)OC,4.93
CC1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)OC,1.75
COC1C(C(OC1N2C=NC3=C2N=CN=C3N)CO)O,2.60
COC1C(C(OC1N2C=CC(=NC2=O)N)CO)O,5.02
COC1C(C(OC1N2C=NC3=C2NC(=NC3=O)N)CO)O,5.72
COC1C(C(OC1N2C=NC3=C2NC=NC3=O)CO)O,4.06
COC1C(C(OC1N2C=CC(=O)NC2=O)CO)O,2.24
CC(C(C)O)O,3.34
C1CC(OC1CO)N2C=CC(=NC2=O)N,4.54
C1CC(OC1CO)N2C=CC(=O)NC2=O,1.73
C(CC(C(=O)O)N)CC(C(=O)O)N,9.88
C1=CC2=C(C(=C1)O)NC(=O)C=C2,1.53
C1=CC=NC(=C1)CCN,5.52
C(C1C(C(C(C(O1)OC2C(C(C(OC2O)CO)O)O)O)O)O)O,9.47
COC1=CC=CC(=C1N)C(=O)O,1.27
C1=CC=C(C=C1)C(=O)CN,1.08
C(C[S-])[NH3+],2.05
C(CP(=O)(O)O)N,9.39
C1=CC=C(C(=C1)N)O,1.22
C1CCC(C1)NC2=NC(=NC3=C2N=CN3C4C(C(C(O4)CO)O)O)Cl,1.47
C1=NC2=C(N1C3C(C(C(O3)CO)O)O)N=C(N=C2N)Cl,2.69
C1C(C(OC1N2C=CC(=NC2=O)N)COP(=O)(O)O)O,9.16
C1C(C(OC1N2C=CC(=O)NC2=O)CO)O,2.96
CCCC=CC=O,1.39
C1=CC=C(C=C1)C(=O)CO,4.36
C1=CC=C(C=C1)C(=O)C=CC2=CC=CC=C2O,1.01
C1=CC=C2C(=C1)C=CC(=O)N2,1.51
COC1=C(C=CC(=C1)C=C)O,8.71
C1=CC=C(C=C1)CC(=O)N,1.26
CCC(=O)NCC(=O)O,5.37
C1=CC(=O)NC=C1,2.05
C1=CN(C(=S)N=C1N)C2C(C(C(O2)CO)O)O,5.33
C1=CN(C(=S)NC1=O)C2C(C(C(O2)CO)O)O,2.48
C1C2C(COP(=O)(O2)O)OC1N3C=NC4=C3N=CN=C4N,7.29
COC1C(OC(C1O)N2C=CC(=NC2=O)N)CO,5.09
COC1C(OC(C1O)N2C=NC3=C2NC(=NC3=O)N)CO,5.80
COC1C(OC(C1O)N2C=CC(=O)NC2=O)CO,2.42
C1=CC(=C(C=C1C(C(=O)O)O)O)O,2.30
C1=CC(=C(C=C1CC(C(=O)O)N)O)O,8.31
COC1=C(C=C(C=C1)C=O)OC,1.08
C1=C(C=C(C=C1O)O)NCC(=O)O,8.18
C1=CN(N=C1)CC(C(=O)[O-])[NH3+],7.54
C1=CC(=CC=C1C(CC(=O)O)N)O,7.42
C1=CC(=C(C=C1CC(C(=O)O)N)N)O,8.06
CC(CCCC(C)C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)OC(=O)NCCN(C)C)C)C,2.34
C1=CC(=C(C=C1CC(C(=O)O)N)Cl)O,7.13
C1C(OC(C1O)N2C=CC(=O)NC2=O)CO,2.87
C1=CC(=C(C(=C1)O)N)C(=O)O,1.48
C1=CC(=CC(=C1)O)C=O,1.18
C1=CC(=C(C(=C1)O)N)C(=O)CC(C(=O)[O-])[NH3+],7.35
C1=CC(=CC(=C1)O)CC(C(=O)[O-])[NH3+],7.44
C(CCCC(=O)O)CCC(CC(=O)O)O,2.55
C1=CC=C2C(=C1)C(=CN2)CC(=O)O,1.33
C1=CC=C2C(=C1)C(=CN2)CC#N,8.02
C1=CC=C2C(=C1)C(=CN2)CCC(=O)O,1.28
CC(=CC(=O)NCC(=O)O)C,2.95
CN1C(=N)C=CN(C1=O)C2C(C(C(O2)CO)O)O,6.99
CN1C=NC=C1CC(C(=O)O)N,9.41
CC1C2=CC=CC=C2NC1=O,1.07
CSCCCN,5.16
C1=CC(=C(C=C1CC(C(=O)O)N)[N+](=O)[O-])O,6.88
C(CP(=O)(O)O)C(=O)O,8.59
C1=CC(=CN=C1)CO,1.41
C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,1.27
CC(=O)CCCC(=O)O,1.24
CC(=O)CC(C)(C)O,4.88
CC1=CC(=CC(=O)O1)O,1.47
C1=CC(=CC=C1C=O)O,1.18
C1=CC(=CC=C1C(=O)NCC(=O)O)O,5.86
C1=CC(=CC=C1C(C#N)O)O,2.63
CC(C1=CC=C(C=C1)O)O,8.03
C1=CC(=CC=C1CC(=O)C(=O)O)O,1.22
C1=CC=C2C(=C1)C(=O)C=CN2,1.69
CC1=C(SC=N1)CCO,1.21
CC1=CC(=O)OC2=C1C=CC(=C2)O,1.22
CC1=CC(=O)OC2=C1C=CC(=C2)OC(=O)C,1.06
C1=CC=C2C(=C1)C(=CC=[N+]2[O-])[N+](=O)[O-],1.14
C1=CC=C2C(=C1)C(=CC=N2)C(=O)O,4.58
C1=CN(C(=O)NC1=S)C2C(C(C(O2)CO)O)O,2.27
C[N+](C)(C)CCCC(=O)O,7.66
CC1=CN(C(=O)NC1=O)C2CC(C(O2)COC)O,1.46
C1CNC(=O)NC1=O,1.77
CC1=CC2=C(C=C1C)N=CN2,1.82
C1=NC(=C(N1)C(=O)N)N,4.18
C1=CC(=C(C=C1N)C(=O)O)O,3.89
C1=C(C=NC(=O)N1)F,1.77
C1=NC(=O)NC(=C1F)N,4.62
C1=CC2=C(C=C1O)C(=CN2)CC(=O)O,1.78
C1=C(C(=NC(=O)N1C2C(C(C(O2)CO)O)O)N)CO,7.54
C1=NC(=O)NC(=C1CO)N,6.90
C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)[O-])[NH3+],7.48
COC1=C2C=CC(=O)OC2=CC3=C1C=CO3,1.07
COC1=CC2=C(C=C1)NC=C2CCN,4.99
COC1=CC2=C(C=C1)NC=C2CCO,1.18
COC1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)O,4.72
CC1=CN(C(=S)NC1=O)C2C(C(C(O2)CO)O)O,1.98
CC1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,6.39
CC1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)O,4.19
CCCCCCCCCOC1=CC2=C(C=C1)NC=C2CCN,3.40
C1=CC(=O)OC2=CC(=C(C=C21)O)O,1.47
C1=CC2=C(C=C1N)NN=C2,1.26
C(CCC(=O)O)CCO,1.34
C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=CC(=C3)O,1.26
CC(CCC=C(C)C)O,7.30
CSC1=NC=NC2=C1NC=N2,1.49
CC(C(C1=NC2=C(NC1)NC(=NC2=O)N)O)O,7.18
CN1C=[N+](C2=C1C(=O)N=C(N2)N)C3C(C(C(O3)CO)O)O,7.34
C1C(C(OC1N2C3=C(C(=NC=N3)N)NC2=O)CO)O,5.11
CC(C)C1=CC2=CCC3C(C2CC1)(CCCC3(C)C(=O)O)C,1.11
CC1=CC(=O)CC(C1(C=CC(=CC(=O)O)C)O)(C)C,1.33
CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)NC4C=C(C(C(C4O)O)O)CO,9.88
CC(=O)NC1=CC=C(C=C1)OC2C(C(C(C(O2)C(=O)O)O)O)O,7.73
CC(=O)NC1=CC=C(C=C1)O,1.37
CC(=O)NC1=CC=CC=C1,1.11
CC(=O)NO,2.94
CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C,1.03
CC(=O)NC1=CC=C(C=C1)CC(=O)O,1.58
C1C2C(C(C(O2)N3C=NC4=C3N=CN=C4N)O)OP(=O)(O1)O,7.62
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)O)O)O,8.88
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)CO)OP(=O)(O)O)O,8.88
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)CO)O)O,4.77
CC12CCC(=O)C=C1CCC3C2C(=O)CC4(C3CCC4=O)C,1.10
CC(C)CC(C(=O)O)NC(=O)C(C)N,7.60
CC(C(=O)NC(C(C)C)C(=O)O)N,7.66
CC(C(=O)O)N,8.05
CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,1.22
CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,5.55
CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC,4.29
C(C(=O)O)(NC(=O)N)NC(=O)N,8.56
CC1=C(N=CN1)CN2CCC3=C(C2=O)C4=CC=CC=C4N3C,4.19
C(C1C(C(C(C(O1)OP(=O)(O)O)N)O)O)O,7.06
C=C1CCOC1=O,1.05
CC1C2CCC3(C=CC(=O)C(=C3C2OC1=O)C)C,1.07
CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,1.34
C1CN(CCC1C(=O)C2=CC=C(C=C2)F)CCN3C(=O)C4=CC=CC=C4NC3=S,2.64
CCCCCC=CCC=CCC=CCC=CCCCC(=O)NC1=CC=C(C=C1)O,0.97
CC1=C(N(N=C1C(=O)NN2CCCCC2)C3=C(C=C(C=C3)Cl)Cl)C4=CC=C(C=C4)I,0.97
C1C2CC3CC1CC(C2)(C3)N,4.88
C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N,5.52
CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,1.87
CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC,2.76
CC(C)C1=CC2=C(C=C1)OC3=NC(=C(C=C3C2=O)C(=O)O)N,1.81
CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN,4.24
CC(CC1=CC=CC=C1)N,4.60
CCOC(=O)OC(C)OC1=C(N(S(=O)(=O)C2=CC=CC=C21)C)C(=O)NC3=CC=CC=N3,0.95
C1C2=C(C=CC(=C2Cl)Cl)NC3=NC(=O)CN31,1.82
CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N,0.98
CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4=O)C,1.09
CN1C=NC=C1CC(C(=O)O)NC(=O)CCN,9.49
CCCCCC=CCC=CCC=CCC=CCCCC(=O)NCCC1=CC(=C(C=C1)O)O,1.14
CC1CCN(C(C1)C(=O)O)C(=O)C(CCCN=C(N)N)NS(=O)(=O)C2=CC=CC3=C2NCC(C3)C,5.45
C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl,3.14
C(CC(=O)O)C(C(=O)O)NC(=O)C(CC(=O)O)N,9.47
C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CC(=O)O)N,8.14
CC1=CC=CC=C1OC(CCNC)C2=CC=CC=C2,2.42
CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3,4.32
CN1C(=O)COC2=C1C=C(C=C2C(=O)NC3CN4CCC3CC4)Cl,4.66
C1=CC(=CC=C1C(=O)NCCC(=O)O)NN=C2C=CC(=O)C(=C2)C(=O)O,4.85
CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)Cl)C,1.26
CCN(CC)CCOC(=O)C(C1=CC=CC=C1)(C2=CC=CC=C2)O,2.16
CCOC(=O)C(CCC1=CC=CC=C1)NC2CCC3=CC=CC=C3N(C2=O)CC(=O)O,1.33
CC1=C(C(C(=C(N1)C)C(=O)OC2CCCN(C2)CC3=CC=CC=C3)C4=CC(=CC=C4)[N+](=O)[O-])C(=O)OC,1.46
CC(COC1=CC=CC=C1CC2=CC=CC=C2)N3CCCCC3,1.99
C1=CC=C(C=C1)C(=O)N,1.27
C1=CC=C2C(=C1)N=CS2,1.11
CC(CC1=CC=CC=C1)N(C)CC2=CC=CC=C2,2.04
CC(=O)OCC1=CC=CC=C1,8.71
CC(C)CC(C(=O)O)NC(=O)C(C(CC1=CC=CC=C1)N)O,5.98
C(CN)C(=O)O,8.02
CNCC(C(=O)O)N,9.32
CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O,3.05
CNCCCCOC1=CC=CC=C1CC2=CC=CC=C2,2.46
C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=CC=C3)N4C=CN=C4,1.19
C1CCC2(C1)CC(=O)N(C(=O)C2)CCNCC3COC4=CC=CC=C4O3,1.80
CC(C)NCC(COC1=CC=C(C=C1)COCCOC(C)C)O,3.47
C(=O)(N)NC(=O)N,2.73
C1C(=O)NC2=C(C=C(C=C2)Br)C(=N1)C3=CC=CC=N3,1.30
COC1=C(C=C2C(=C1)C34CCN5C3CC6C7C4N2C(=O)CC7OCC=C6C5)OC,4.57
COC1=CC(=C(C(=C1)OC)C(=O)CCCN2CCCC2)OC,2.34
CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,2.22
CCCC(=O)O,10.19
C(CCN)CCN,8.99
C1=CC(=C(C=C1C=CC(=O)O)O)O,1.81
C(CON=C(N)N)C(C(=O)[O-])[NH3+],9.42
CC(C)C=CCCCCC(=O)NCC1=CC(=C(C=C1)O)OC,1.00
C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,1.21
C(C(C(=O)O)N)SCC(=O)O,9.04
C1=C(NC=N1)CC(C(=O)[O-])NC(=O)CC[NH3+],9.54
COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O,3.17
C1C(=C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)Cl,5.61
C1C(=C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)CSC4=NNN=C4,7.98
C=CC1=C(N2C(C(C2=O)NC(=O)C(=NO)C3=CSC(=N3)N)SC1)C(=O)O,6.94
C=CC1=C(N2C(C(C2=O)NC(=O)C(=NOCC(=O)O)C3=CSC(=N3)N)SC1)C(=O)O,7.79
CC(C)OC(=O)OC(C)OC(=O)C1=C(CSC2N1C(=O)C2NC(=O)C(=NOC)C3=CSC(=N3)N)COC,1.12
CC(C)C1=C(C(=C(C(=N1)C(C)C)C=CC(CC(CC(=O)O)O)O)C2=CC=C(C=C2)F)COC,1.18
C1CC(CCC1C[NH3+])C(=O)OC2=CC=C(C=C2)CCC(=O)[O-],5.29
CN1CCN(CC1)C2=NC3=C(C=CC(=C3)C(F)(F)F)N4C2=CC=C4,2.21
C1=COC(=C1)C2=NN3C(=N2)C4=C(C=CC(=C4)Cl)N=C3N,1.07
CC(=C)CN1CCC23C4C5=C(CC2(C1CC6=C3C(=C(C=C6)O)O4)O)C7=CC=CC=C7N5,2.93
CN=C1CN(C(=C2C=C(C=CC2=N1)Cl)C3=CC=CC=C3)O,1.35
CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,2.54
CC1(CC1C(=O)NC(=CCCCCSCC(C(=O)O)N)C(=O)O)C,7.63
CN(C)CCCSC1=CC=CC=C1NC(=O)C=CC2=CC=CC=C2,2.61
C1=CC=C(C=C1)C=CC=O,9.18
COC1CN(CCC1NC(=O)C2=CC(=C(C=C2OC)N)Cl)CCCOC3=CC=C(C=C3)F,2.28
CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,2.21
C(CC(C(=O)O)N)CNC(=O)N,8.74
C1C(C(OC1N2C=NC3=C2N=C(N=C3N)Cl)CO)O,1.95
CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,3.00
CN1C(=O)CC(=O)N(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,1.10
C1=CC(=CC=C1CN=C(N)SCCCC2=CN=CN2)Cl,6.13
CC(C)N=C1C=C2C(=NC3=CC=CC=C3N2C4=CC=C(C=C4)Cl)C=C1NC5=CC=C(C=C5)Cl,1.78
CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl,2.31
C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl,2.85
CCOC(=O)C1C2CCC(N2C)CC1OC(=O)C3=CC=CC=C3,2.12
COC1=C(C=CC(=C1)C=CC=O)O,1.14
C1C(OC(C1O)N2C=NC3=C2N=CN=C3N)CO,3.54
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,1.25
CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4(C(=O)CO)O)C,1.15
CC1C2C3=CC(=C(C=C3CCN2CC4=C1C=CC(=C4OC)OC)OC)OC,1.52
C1=CC=C2C(=C1)C=CC(=O)O2,1.08
CCN(C1=CC=CC=C1C)C(=O)C=CC,0.97
CC(C)CC1C(=O)N2CCCC2C(=O)N1,1.29
C1CCC(CC1)N,5.10
CN1CCC(=C2C3=CC=CC=C3C=CC4=CC=CC=C42)CC1,2.31
C(C(C(=O)O)N)S(=O)(=O)O,8.92
C(C(C(=O)O)N)S,5.31
C(C(C(=O)[O-])[NH3+])SSCC(C(=O)[O-])[NH3+],9.97
C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,6.72
C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)O)O)O,9.48
C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,6.85
C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,1.39
CC(CCC(=O)O)C1CCC2C1(C(=O)CC3C2C(=O)CC4C3(CCC(=O)C4)C)C,1.16
C(CC(C(=O)O)N)C(CN)O,9.77
C1CC2=C(C=CC(=C2)Cl)C(=C3CCNCC3)C4=C1C=CC=N4,4.90
CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1C(=O)CO)C)O)F)C,1.13
CN(C)CCC(C1=CC=C(C=C1)Br)C2=CC=CC=N2,2.56
CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,2.54
CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)O,3.87
CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,1.10
CC1=NS(=O)(=O)C2=C(N1)C=CC(=C2)Cl,1.09
C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,1.08
CC(C)CCCCCCC(=O)NCC1=CC(=C(C=C1)O)OC,1.07
CC(CCNC1=NC=NC2=C1NC=N2)CO,2.99
COC(=O)C1=CC=CC=C1C(=O)OC,1.04
CCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCC,0.96
CCOC(=O)C1(CCN(CC1)CCC(C#N)(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4,1.41
C1=CC=C(C=C1)C2=C(C2=O)C3=CC=CC=C3,1.01
CCN(CC)C(=S)SSC(=S)N(CC)CC,0.93
CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,1.34
CN(CCC1=CC=C(C=C1)NS(=O)(=O)C)CCOC2=CC=C(C=C2)NS(=O)(=O)C,3.38
C1C2CC(CC3N2CC(=O)C1C3)OC(=O)C4=CNC5=CC=CC=C54,1.90
COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC,2.44
C1=CC(=C(C=C1CCN)O)O,6.40
CCN1CC(C(C1=O)(C2=CC=CC=C2)C3=CC=CC=C3)CCN4CCOCC4,1.64
CN(C)CCC=C1C2=CC=CC=C2COC3=CC=CC=C31,2.26
CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O,6.02
CC(C1=CC=CC=C1)(C2=CC=CC=N2)OCCN(C)C,2.45
C1CN(CC=C1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F,3.48
CNCCC(C1=CC=CS1)OC2=CC=CC3=CC=CC=C32,2.60
CC1=NC(=CC=C1)CCN2CCC(CC2)C(=O)C3=CC=C(C=C3)NS(=O)(=O)C,2.92
CC=C1C(CC(N1C)C)(C2=CC=CC=C2)C3=CC=CC=C3,1.90
CC(C(=O)N1CCCC1C(=O)O)NC(CCC2=CC=CC=C2)C(=O)O,7.07
CCN1CCN(CC1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)C4CC4)F,3.31
C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O,10.17
CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O,5.92
C1C(COC2=C1C=CC(=C2)O)C3=CC=C(C=C3)O,1.19
C[N+](C)(C)C(CC1=CN=C(N1)[S-])C(=O)O,7.74
CCCCCCCCC=CCCCCCCCCCCCC(=O)N,1.06
CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,2.20
CC(C)NCC(COC1=CC=C(C=C1)CCC(=O)OC)O,3.13
CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,1.35
C(CO)N,7.15
CCCC(=O)OCC,4.88
CCOC(=O)C1=CN=CN1C(C)C2=CC=CC=C2,0.98
CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O,1.30
CC12CCC3C(C1CCC2=O)CC(=C)C4=CC(=O)C=CC34C,0.98
C1=CC(=CC=C1C2C(C(=O)N2C3=CC=C(C=C3)F)CCC(C4=CC=C(C=C4)F)O)O,1.03
CC(=O)OCC(CCN1C=NC2=CN=C(N=C21)N)COC(=O)C,1.38
